Rank,Name,Time,TrackWeapon,Brand,Model,Year,ChassisCode,EngineL,EngineType,Drivetrain,RaceEvent,Date
1,Paolo Montano,01:39.289,2024 Porsche GT3 992 NA,Porsche,GT3,2024,992,4.0,NA,RWD,Full Throttle Weekend (ETCC),August 17   2025
2,Angelo Magatoto,01:40.532,2020 Toyota Supra,Toyota,Supra,2020,A90,3.0,FI,RWD,Full Throttle Weekend (Time Battle),February 25 2024
3,Mark Savino,01:41.292,2019 Porsche 911 GT3 RS NA,Porsche,911 GT3 RS,2019,991.2,4.0,NA,RWD,Full Throttle Weekend (ETCC),August 17   2025
4,Thmoon Lee,01:41.547,2019 Lamborghini Huracan Performante,Lamborghini,Huracan Performante,2019,LP640,5.2,NA,AWD,Full Throttle Weekend (ETCC),July 21     2022
5,Pep Lo,01:42.190,2017 Nissan R35,Nissan,GT-R,2017,R35,3.8,FI,AWD,Full Throttle Weekend (Time Battle),May 11      2025
6,Thomas Raldorf,01:43.265,2015 Subaru Impreza STI,Subaru,Impreza STi,2015,GV,2.5,FI,AWD,Full Throttle Weekend (Time Battle),May 19      2024
7,Richard Dy,01:43.812,2019 Porsche 911 GT3 RS,Porsche,911 GT3 RS,2019,991.2,4.0,NA,RWD,Full Throttle Weekend (ETCC),October 23  2023
8,Christian Ho,01:44.033,2022 Shelby GT500,Ford,Shelby GT500,2022,S550,5.2,FI,RWD,Full Throttle Weekend (ETCC),October 28  2023
9,Rafael Lao,01:44.441,2012 Nissan GT-R RS Black Edition,Nissan,GT-R Black Edition,2012,R35,3.8,FI,AWD,Full Throttle Weekend (Time Battle),March 23    2025
10,Jonathan Padilla,01:44.833,2012 Nissan GT-R,Nissan,GT-R,2012,R35,3.8,FI,AWD,Full Throttle Weekend (ETCC),October 23  2023
11,Anthony Zuazuarregui,01:45.139,2019 Porsche 911 GT3,Porsche,911 GT3,2019,991.2,4.0,NA,RWD,Full Throttle Weekend (ETCC),May 25      2024
12,Paul Perez,01:45.730,2000 Honda Civic K20SC,Honda,Civic,2000,,2.0,FI,FWD,Full Throttle Weekend (ETCC),October 28  2023
13,Francis Arjonillo,01:46.071,2021 Shelby GT500,Ford,Shelby GT500,2021,,5.2,FI,RWD,Full Throttle Weekend (ETCC),October 28  2023
14,Paolo Mantolino,01:46.222,2022 Toyota GR Yaris,Toyota,GR Yaris,2022,,1.3,FI,AWD,Full Throttle Weekend (Time Battle),April 14    2024
15,Mark Savino,01:46.336,2019 Chevrolet Camaro ZL1,Chevrolet,Camaro ZL1,2019,,6.2,FI,RWD,Full Throttle Weekend (ETCC),May 18      2024
16,Christian Ho,01:47.040,2015 Ford Mustang GT,Ford,Mustang GT,2015,,5.0,NA,RWD,Clubman Racing Series,February 25 2024
17,Alonso Tan,01:47.422,2024 Honda Civic Type R,Honda,Civic Type R,2024,FL5,2.0,FI,FWD,Full Throttle Weekend (Time Battle),March 23    2025
18,Lester Shih,01:47.746,2010 Porsche Cayman S,Porsche,Cayman S,2010,987.2,3.4,NA,RWD,Full Throttle Weekend (ETCC),May 21      2023
19,Angie King,01:47.662,2010 Porsche 911 GT3,Porsche,911 GT3,2010,997,3.8,NA,RWD,Full Throttle Weekend (ETCC),July 31     2022
20,Thmoon Lee,01:47.862,2016 Porsche Cayman GT4,Porsche,Cayman GT4,2016,981,4.0,NA,RWD,Full Throttle Weekend (ETCC),April 21    2024
21,Richard Dy,01:47.884,2016 Porsche Cayman GT4,Porsche,Cayman GT4,2016,981,3.8,NA,RWD,Full Throttle Weekend,May 18      2024
22,Don Pastor,01:47.905,2024 Honda Civic Type R (FL5),Honda,Civic Type R,2024,FL5,2.0,FI,FWD,Full Throttle Weekend (ETCC),October 23  2023
23,Thmoon Lee,01:48.035,2010 Porsche Cayman S,Porsche,Cayman S,2010,987.2,3.4,NA,RWD,Full Throttle Weekend (ETCC),April 21    2024
24,Dolf Santiago,01:48.065,2022 Porsche 911 GT3,Porsche,911 GT3,2022,992,4.0,NA,RWD,Full Throttle Weekend (ETCC),April 14    2024
25,Marvin Tiu Lim,01:48.176,2017 Porsche 911 Turbo S,Porsche,911 Turbo S,2017,991.2,3.8,FI,AWD,Full Throttle Weekend (Time Battle),January 22  2023
26,Paul Perez,01:48.246,1995 Honda Civic EG B20,Honda,Civic,1995,EG,2.0,NA,FWD,Full Throttle Weekend (ETCC),April 21    2024
27,Jaime Almario,01:48.360,2020 Porsche Cayman GT4,Porsche,Cayman GT4,2020,,4.0,NA,RWD,Full Throttle Weekend (ETCC SLTDGrid),May 22      2022
28,Pep Lo,01:48.402,2021 BMW M3,BMW,M3,2021,G80,3.0,FI,RWD,Full Throttle Weekend (ETCC),November 21 2021
29,Robbie Alverez,01:48.532,2005 Subaru Impreza STI Spec C Type RA,Subaru,Impreza STI Spec C Type RA,2005,,2.0,FI,AWD,Full Throttle Weekend (Time Battle),October 23  2023
30,Don Pastor,01:48.861,2010 Toyota Supra,Toyota,Supra,2010,,3.0,FI,RWD,Full Throttle Weekend (ETCC),October 23  2023
31,Jan Torado,01:48.931,2023 BMW M2,BMW,M2,2023,G87,3.0,FI,RWD,Full Throttle Weekend (ETCC),May 19      2024
32,Ynigo Plata,01:49.143,1995 Honda Civic EG Hatch B16 Turbo,Honda,Civic EG Hatch,1995,EG,1.6,FI,FWD,Full Throttle Weekend (ETCC),March 25    2023
33,Francis Arjonillo,01:49.464,2015 Ford Mustang GT,Ford,Mustang GT,2015,,5.0,NA,RWD,Full Throttle Weekend (Time Battle),February 18 2023
34,Thomas Raldorf,01:49.494,2012 Subaru WRX STI,Subaru,WRX STI,2012,,2.5,FI,AWD,Full Throttle Weekend (ETCC),May 21      2023
35,Paul Perez,01:49.604,2000 Honda Civic SiR B20,Honda,Civic SiR,2000,EK4,2.0,NA,FWD,Full Throttle Weekend (ETCC),May 18      2024
36,J.B. Carbonell,01:49.652,1999 Honda Civic Type R,Honda,Honda Civic Type R,1999,EK9,1.6,NA,FWD,Full Throttle Weekend (ETCC),May 18      2024
37,Jude Gimeno,01:49.962,2019 Chevrolet Camaro ZL1,Chevrolet,Camaro ZL1,2019,,6.2,FI,RWD,Full Throttle Weekend (ETCC),April 23    2023
38,Zeb Mendoza,01:49.956,2001 Mitsubishi Lancer Evolution,Mitsubishi,Lancer Evolution,2001,,2.0,FI,AWD,Full Throttle Weekend (Time Battle),July 15     2023
39,Jin Kim,01:51.074,2020 Porsche Cayman GT4,Porsche,Cayman GT4,2020,718,4.0,NA,RWD,Clubman Racing Series,November 21 2021
40,Lino Gatchalian II,01:50.279,2025 BMW M2,BMW,M2,2025,G87,3.0,FI,RWD,Full Throttle Weekend (ETCC),October 22  2023
41,Mike Consenheim,01:50.833,1992 BMW E36 325,BMW,325i,1992,E36,2.5,NA,RWD,Full Throttle Weekend ETCCPh,May 21      2023
42,Armand Marcaida,01:50.877,1993 Honda Civic EG Hatch B20B,Honda,Civic EG Hatch,1993,EG,2.0,NA,FWD,Full Throttle Weekend (ETCC),April 21    2024
43,Wesley Tsai,01:50.824,2019 Lotus Elise,Lotus,Elise,2019,,1.8,NA,RWD,Full Throttle Weekend,August 21   2022
44,Manuel Chua Jr.,01:50.882,2020 Toyota Supra,Toyota,Supra,2020,A90,3.0,FI,RWD,Full Throttle Weekend (Time Battle),October 22  2023
45,Christopher Co,01:51.007,2017 Toyota GT 86,Toyota,GT86,2017,ZN6,2.0,NA,RWD,Full Throttle Weekend (ETCC),April 21    2024
46,Angie King,01:51.168,2018 BMW M4,BMW,M4,2018,,3.0,FI,RWD,Full Throttle Weekend (ETCC),April 21    2024
47,Patrick Hesse,01:51.329,Volkswagen Golf GTI,Volkswagen,Golf GTI,2015,Mk7,2.0,FI,FWD,Full Throttle Weekend (ETCC),February 18 2023
48,Karl Bernabe,01:51.259,2019 Subaru WRX STI,Subaru,WRX STI,2019,,2.0,FI,AWD,Full Throttle Weekend (ETCC),October 22  2023
49,Lance Binamira,01:51.392,1989 Toyota Corolla 1600 4AGE 16V,Toyota,Corolla,1989,,1.6,NA,FWD,Full Throttle Weekend (Time Battle),August 17   2025
50,Genedel Toledo,01:51.367,2021 BMW M2,BMW,M2,2021,F87,3.0,FI,RWD,Full Throttle Weekend (ETCCP),October 05  2023
51,Richard Dy,01:51.437,Porsche 911 GT3 Touring MT,Porsche,911 GT3 Touring,2023,992,4.0,NA,RWD,Full Throttle Weekend (ETCC),April 14    2024
52,Andre Tan,01:51.569,1996 Honda Civic EG B20,Honda,Civic EG,1996,EG,2.0,NA,FWD,Full Throttle Weekend (Time Battle),February 18 2023
53,Paul Perez,01:51.692,2023 Subaru BRZ,Subaru,BRZ,2023,ZD8,2.4,NA,RWD,Full Throttle Weekend (Time Battle),March 23    2025
54,Jay Miliante,01:51.842,2020 Toyota Supra,Toyota,Supra,2020,A90,3.0,FI,RWD,Full Throttle Weekend (ETCC),August 21   2022
55,Dennis Gascon,01:51.936,2014 Subaru BRZ,Subaru,BRZ STI,2014,ZC6,2.0,FI,RWD,Full Throttle Weekend (ETCCP),October 22  2023
56,Henril Castillo,01:51.974,2023 Honda Civic Type R,Honda,Civic Type R,2023,FL5,2.0,FI,FWD,Full Throttle Weekend (Time Battle),April 14    2024
57,Ryan Qamara,01:52.019,2018 Honda Civic Type R,Honda,Civic Type R,2018,FK8,2.0,FI,FWD,Full Throttle Weekend (ETCC),May 21      2023
58,Donald San Jose,01:52.098,2000 Honda Civic B20 Vtec,Honda,Civic,2000,,2.0,NA,FWD,Full Throttle Weekend (Time Battle),February 25 2024
59,Mark Savino,01:52.108,2015 Ford Mustang GT,Ford,Mustang GT,2015,,5.0,NA,RWD,Full Throttle Weekend SLTD,April 21    2024
60,Mike Conshenim,01:52.308,2011 BMW M1,BMW,M1,2011,,3.0,FI,RWD,Clubman Racing Series,November 21 2021
61,Zeb Mendoza,01:52.381,2020 Toyota Yaris GR,Toyota,GR Yaris,2020,,1.3,FI,AWD,Full Throttle Weekend (Time Battle),May 19      2024
62,John Asuncion,01:52.546,2009 Audi R8 V8,Audi,R8 V8,2009,,4.2,NA,AWD,Full Throttle Weekend (ETCC),April 22    2023
63,Anthony Zuazuarregui,01:52.781,2023 Mercedes Benz AMG GT Black series,Mercedes-Benz,AMG GT Black Series,2023,,4.0,FI,RWD,Full Throttle Weekend (ETCC),May 25      2024
64,Evan Severino,01:53.224,2015 Volkswagen Golf GTI,Volkswagen,Golf GTI,2015,,2.0,FI,FWD,Full Throttle Weekend (ETCC),August 17   2025
65,Jay Landaicho,01:53.269,2012 Mitsubishi Evolution 9,Mitsubishi,Lancer Evolution IX,2012,,2.0,FI,AWD,Full Throttle Weekend (ETCC),August 17   2025
66,Jay Lazaga,01:53.663,Honda Civic Type R FK8,Honda,Civic Type R,2018,FK8,2.0,FI,FWD,Full Throttle Weekend (Time Battle),April 23    2023
67,Andre Tan,01:53.713,2021 Toyota GR Yaris,Toyota,GR Yaris,2021,,1.3,FI,AWD,Full Throttle Weekend (Time Battle),February 25 2024
68,Mikko Briones,01:53.762,1993 Honda Civic EG B20,Honda,Civic EG,1993,EG,2.0,NA,FWD,Full Throttle Weekend,February 25 2024
69,Manu Miranda,01:54.781,2007 Subaru STi,Subaru,Impreza STi,2007,,2.5,FI,AWD,Full Throttle Weekend (ETCC),March 23    2025
70,Jevoy Moreno,01:53.865,Honda Civic EG K24,Honda,Civic EG,1995,EG,2.4,NA,FWD,Full Throttle Weekend (Time Battle),April 21    2024
72,Ynigo Plata,01:54.043,2023 Nissan 400Z,Nissan,400Z,2023,,3.0,FI,RWD,Full Throttle Weekend (Time Battle),Aug 11      2024
73,Jon Victoria,01:54.305,2023 Subaru BRZ,Subaru,BRZ,2023,ZD8,2.4,NA,RWD,Full Throttle Weekend (ETCC),March 23    2025
74,Lance Guballa,01:54.432,2016 Audi S3,Audi,S3,2016,,2.0,FI,AWD,Full Throttle Weekend (Time Battle),July 16     2023
75,Lino Gatchalian II,01:54.149,2022 Honda Civic FE,Honda,Civic,2022,FE,1.5,FI,FWD,Full Throttle Weekend (ETCC),April 22    2023
76,Lorenzo Cucio,01:54.176,2023 Subaru BRZ,Subaru,BRZ,2023,ZD8,2.4,NA,RWD,Full Throttle Weekend (ETCC),May 21      2023
77,Zachary Cheng,01:54.382,2007 Lexus IS350,Lexus,IS350,2007,,3.5,FI,RWD,Full Throttle Weekend (Time Battle),June 22     2025
78,Jon Victoria,01:54.138,2008 Honda Civic SiR,Honda,Civic SiR,2008,,1.6,NA,FWD,Full Throttle Weekend (ETCC),October 22  2023
79,Struan Wallace,01:54.322,2018 Ford Mustang GT,Ford,Mustang GT,2018,,5.0,NA,RWD,Full Throttle Weekend (ETCC),April 21    2024
80,Wesley Tsai,01:54.374,2017 Porsche Cayman,Porsche,Cayman,2017,,2.5,FI,RWD,Full Throttle Weekend (ETCC),May 18      2024
81,John Asuncion,01:54.470,2009 Porsche GT3,Porsche,GT3,2009,,3.6,NA,RWD,Full Throttle Weekend (ETCC),March 23    2025
82,Roro James Cruz,01:54.472,2024 Honda Civic Type R,Honda,Civic Type R,2024,,2.0,FI,FWD,Full Throttle Weekend (Time Battle),March 23    2025
83,John Kamekawa,01:54.500,2004 Honda Civic SiR B18,Honda,Civic SiR,2004,,1.8,NA,FWD,Full Throttle Weekend (ETCC),February 25 2024
84,Aerie Lampano,01:54.680,2000 Honda Civic EK,Honda,Civic EK,2000,EK,1.6,NA,FWD,Full Throttle Weekend (Time Battle),February 15 2023
85,Anthony Zuazuaregui,01:54.639,Lotus Elise,Lotus,Elise,2019,,1.8,NA,RWD,Full Throttle Weekend (ETCC),May 18      2024
86,Aldwin Salido,01:54.712,2023 Subaru BRZ,Subaru,BRZ,2023,ZD8,2.4,NA,RWD,Full Throttle Weekend (ETCC),April 23    2023
87,James Torres,01:54.887,2008 Porsche 997 Turbo,Porsche,997 Turbo,2008,997,3.6,FI,AWD,Full Throttle Weekend (ETCCPH),October 22  2023
88,Jan Torado,01:54.902,2021 Dodge Charger,Dodge,Charger,2021,,5.7,FI,RWD,Full Throttle Weekend,March 18    2023
89,Ted Alvaran,01:55.074,2019 Honda Civic Type R,Honda,Civic Type R,2019,FK8,2.0,FI,FWD,Full Throttle Weekend (Time Battle),February 18 2023
90,Patrick Chan,01:55.088,2016 Volkswagen Golf GTI,Volkswagen,Golf GTI,2016,,2.0,FI,FWD,Full Throttle Weekend (ETCC),February 18 2023
91,John Asuncion,01:55.098,2013 Volkswagen Scirocco R,Volkswagen,Scirocco R,2013,,2.0,FI,FWD,Full Throttle Weekend,July 21     2023
92,Marbel Bayombong,01:55.165,2025 Honda Civic Type R (FL5),Honda,Civic Type R,2024,FL5,2.0,FI,FWD,Full Throttle Weekend (Time Battle),March 23    2025
93,Jason Choachuy,01:55.622,2005 Porsche 911 Carrera S,Porsche,911 Carrera S,2005,997,3.8,NA,RWD,Full Throttle Weekend (ETCC),October 22  2023
94,Felix Perez,01:55.276,2000 Honda Civic E.G. 20,Honda,Civic EK,2000,EK,2.0,NA,FWD,Full Throttle Weekend (ETCC),July 21     2023
95,Ronald Fernandez,01:55.276,2013 Toyota GT 86 turbo,Toyota,GT86,2013,ZN6,2.0,FI,RWD,Full Throttle Weekend (Time Battle),October 28  2023
96,Zach Mendoza,01:55.786,Toyota Corolla GLI,Toyota,Corolla GLI,2000,E110,1.6,NA,FWD,Full Throttle Weekend (ETCC),February 18 2023
97,Rex Agpavarior,01:55.939,2019 Ford Mustang GT 5.0,Ford,Mustang GT,2019,,5.0,NA,RWD,Full Throttle Weekend (Time Battle),August 11   2024
98,Diego Dea Cruz,01:55.734,2022 Mazda MX5,Mazda,MX-5,2022,,2.0,NA,RWD,Full Throttle Weekend (ETCC),February 25 2024
99,Rene Mayo,01:55.818,2021 BMW M4,BMW,M4,2021,G82,3.0,FI,RWD,Full Throttle Weekend ETCCPH,October 05  2023
100,Wesley Tsai,01:55.988,2021 Lotus Elise,Lotus,Elise,2021,,1.8,NA,RWD,Full Throttle Weekend (Time Battle),July 31     2022
